id,tweet,ES
13,eth zurich tp ngga bayar sertifikatnya Kerja jadi dishwasher di spacex digaji berapa ya Kalo di indonesia udah dinyinyirin satu kelurahan sama masalah es krim rasa coklat ap vanilla pengen ribut tp aku dan dia sama2 kalem tuh Aku no comment aja tentang rthkarina riweh milih baju Open Follback 1 Follow 2 twit ini 3 Opsional Follow dan Baca rules yaa follow ra ketika mutualmu usernamenya aneh aneh jd kl mau mention kelupaan namanya siapa trus ngeliat dulu namanya di,2
14,naik kok pelan pelan nder Semangatt tidur shaaa aku marah cepet tidur Niii ak kasih balonnyaa Happy happy day Biii panjang umur dan sehat selalu ya Semoga hal hal baik selalu membersamaimu BieEEEee rajinnya dijaga terus yaaaa WKWKW Mangatz maba undipqu Hei makasih yaa Akhirnya aku paham huhu inkaaa makasi yaaa Alhamdulillah baik kakk Kakak sendiri gimana Baik kan Sehat selalu ya kak Bayangkan kebahagiaan orang tua kamu dan percayalah sampai bertahun tahun berikutnya orang tau kamu akan cerita k,1
15,different religions What s your excuse 2in Ke windows kan ya Seingetku dulu pake itunes jd download apk nya di laptop Apalagi windows skrg udh punya icloud sih Selebihnya boleh pake app ketiga kaya gdrive Minta maaf ya minta maaf aja gausah modus minta balikan dia yg membentuk diriku mnjd pribadi yg egois kangen pas mau salim tiba2 berasa ada kertas I don t have a photographer BUY LUCU BANGEEET Hmmm standard aja sihh Bulu yg numbuh malah jd lebih,1
16,ini kurang beruntung hmmmmm Titit lom disunat Makasih cantikkk Panjang umur deh Make koyo dijidat jgn lupa mbak Tungau asu Ujan dong plssss,4
17,FOODFESS2 stroberi huffff mentega nasi telor garem heran sama org yg excited liat revenge porn di TL pgn ikut2 biar keliatan update dgn aib org lain padahal sendiri nya juga pasti punya aib lol bolehh 9 kfc yang fun fries rasa bbq sumpah itu enak banget bantu report yuk pgn bgt balik lagi ke masa sma UI sama cwe itu hubungannya ap serius nanya pernah bgt ni contohnya t co BwpC5u693k enak bgt ini kue lebaran terenak yg kanan tu,2
18,ngefollow ig gue kan jd maksa gua buat publish kemesraan bener bener gila sih ini fake accountnya mantannya cowo gua sampe ngefollow ig gua segitu mau taunya yaAllah Yah goodluck aja lah kalo gt buat kita semua orang Indonesia heran aku sama mantannya pcr aku udah 2 hari kepoin aku pake fake accountnya dikira aku gak tau itu km kli ya gila lo buatku makin ingin menggaruk sj karna aku kerja di erafone jd aku beli di erafone pas lg,2
19,bermimpi besar artinya kalian berani ngeluarin usaha yang juga besar dan kalian harus bawakan usaha ka temen2 bisa help rt gak kalo ada yg mau donasi silahkan kasian bgt ini yg punya shelter diusir dan dia aja gaada biaya buat KITA PUASA KARENA KEWAJIBAN MEREKA PUASA KARENA TAK PUNYA PILIHAN Twitter please do your magic Saat ini Perhimpuna Kakk aku baru aja liat di youtube lucu banget huhuuu sering2 bagi info ttg psikologi kaya gini ya Kakk Terima kasih hihi,1
20,tuh alam menyatukan akal menentukan kopi menyetarakan Mirip artis Mungkin masih di jauhkan dari orang yang salah fokus memperbaiki diri aja hehe Astagfirullah pino udh mulai jadi PK cewe semua yang nge respown Berarti bukan itu penyebab nya kan Haha Yaudah bebas mau pakai apa tapi ga masuk akal deh kalau itu bunyi sonic boom dengan durasi 1jam lebih wkwk Siip ongkir 56ribu pin wkwk Surga duniawi Askfm Sampai kapan berita ini di ulang2 min Yang logis aja deh masak,3
21,request juga emang gua nikah makan peluru Kaga anjg aries berada dipuncak klasmen ya maap,2
22,kedatangannya Ramadhan akan selalu me Selamat sahur terakhir Semoga tahun depan kita sudah tinggal serumah dan menikmati Ramadhan bersama sama Okeh Cuuusss ke jogja Ayuk bangun Nikmatin sahurnya Besok udah gak sahur lagi kita Tahun ini kamu melalui sahur dan buka puasa sendiri Tidak ada yang menemani Tidak apa apa Semoga masih panjang usia Tahu makasih yaa udah nemenin aku sahur tahun ini semoga tahun depan bisa ketemu ramadan lagi dan masih dengan orang orang tersaya Biasa aja Yaudah siap,2
23,akan ku perbarui tweetnya p s pernah dibandingin sama paha temen sekantor Masih gedean lengan gua mas Next Creation I ll be sober Growing up means mastering the art of letting go The hardest part of being away from the stage No one throws flowers at moi after a fabulous performance So feel free to le Check out the top 10 most downloaded COVID19 preprints of the week from The older you get the less people you trust Kamvrette Lengan,1
24,baksona dia padahal masih laparki wktu ta aksi ndd na kisah uwu di dpt ukht ksh bgini bde memei emotnya dlu dong pak suardi heba wihhhh semangattttt sama perbanyak doaaa biar dimudahkan dan dilancarkan gelar baru alhamdulillah dipakai di hari raya KAPAANNNNN knp atok nda nikah sm opa sj gaada obatt indonesia empat koma nol hahahahahahaa itue salah pencetka brrt kah double ki april I m tired of all this damn thing hhaha siap doakan istiqomah belajarnya teh panas sebelum,4
25,rabu untuk kamu yang dihatiku jangan sering menggerutu aku cinta kamu bagaimanapun keadaannya kita harus tetap bersama karena perihal melepaskanmu aku takkan pernah rela merindukanmu adalah sesuatu yang tidak mampu ku redam dan melupakanmu bukanlah hal yang mudah ku lakukan bila kamu mengira aku akan meninggalkan maaf menyakitimu saja aku enggan bila merindu dapat membuat kita bertemu bila menunggu dapat membuat kita bersatu aku sangat siap untuk itu kata dilan bisaku cuma mencintaimu maka ku balas tidak ada yang lebih,2
26,masih cukup sering ke McD Sarinah Thamrin mungkin bisa bantu mas ini setelah tau berita tentang McD S kena prank pak polisi cia ferdianpaleka jaksel crazyrichsby fix lu kalah uwu sm mereka yuhuuuu nonton di sebelah ibu eh dia ketawa ngakak wkwkwwk sudah aku dm tolong di cek yaaa terimakasiii ini knp ya min bisa di info ABK INDONESIA KERJA 18 JAM 6 JAM INCLUDE WAKTU MAKAN KETIKA SAKIT amp MENINGGAL MAYATNYA DIBUANG KE LAUT OLEH KAPAL C nah udah,2
27,aka Saya ingin bahas beberapa kanal YouTube yang menurut saya bagus Semoga menginspirasi amp semoga dapat mengurangi traffic vlog pengen pinter kayak maudy ayunda musti ngapain dulu ya Sukaa sm konsep Downsizing dari rumah ini Melrose Terrace yg didesain oleh Dan Gayfer Design ini menjadi bukti kalo hunian k AMALAN 1 MENIT YANG DAPAT MENGHAPUS DOSA 100 TAHUN A THREAD Yuk sempatkan A GiveawayAwalPuasaShopee Sobat Shopee Hari ini aku mau GIVEAWAY ADVAN S6 buat kamu Yuk ikutan 1 FOLLOW 2,2
28,s called being a responsible fu Dan elo kumpul kumpul ngeluarin hape rekam video buat apa Buat sosmed Dan elo menghujat orang yang bikin prank sampah de Yang melanggar PSBB maksain kumpul kumpul rame rame gak jaga jarak gak pake masker memperbesar peluang Covid 19 menyebar Asian parents tidak mengenal mental illness ngertine kurang ibadah hahahahah iya bener TVXQ amp SJ My week on Twitter 6 Mentions 6 Replies See yours with bisa gtu ih matanya di bulan puasa ini,2
29,bilang terang bulan jadi martabak manis dan bilang itu salah kaprah well u ruined everything dgn argumen lu yg blm tentu valid gimana nih tanggepin dong wkwk pengen bangettt semoga kesampean aamiin dimsum mati dan emg gitu jg cara nyerang dia bhagiaaa semangat sender pasti bisa kokkk hmm ingin kulit mulush tp masih memakan semua yg ada diatas adalah ak nder tolong ya pandemi ini tuh masih sensitif banget loh km jangan memicu keributan mba udah segitu jelas lo peringatan,2
30,depan gang mundurr lg gara2 kanan kiri depan ditutup semua jalannya apalagi pas bapanya udh kena virusnya ga siiii duain panase ora umum Boongan tuh wipechallenge Freya gak berhasil PSBB akan diperpanjang jadi PSBBBBBBBBBBBBBB Pembatasan Sosial Berskala Besar Belum Berakhir Bisa Bisa Bulan Berukutnya Bahk Maaf kelemahanku adalah diskon shopee dan sociolla kkn individu di desa sendiri cant relate nohh dik dibikin banner segede gaban tempel di tembok kamar gugel meet ayo pacaran sama anak fishew begini kaliyaa kalo sama,1
31,geli sendiri lokitnya Udah gila Magdalene kebanyakan liat lonte onlyfans yang jualan foto toket barter gopay makanya anggep lonte pasti merdeka Lonte lo Ay CJ Pacitan emg underrated sih Cuma kayaknya aksesnya masih susah ya Pernah sekali iseng2 nyari rute kereta ke pacitan tapi ternyata gaada Hai genks Keluarga besar Barasuara mau memperkenalkan bisnis rumahan milik masing masing personel dan tim produksi kami ter Jean michel basquiat anjiingg ceritain dong yg punya lu Walikota Solo menghimbau bukan paksaan kita2 ikut,2
32,sesuai keinginannya ngelunjak dong namanya Takut Tuhan cape dengernya kalo kebanyakan minta hihi Syukuri aja Hanya sekedar terlihat tanpa niat tanpa tekad lalu bagaimana bisa terlihat kuat aku difoto sama aslinya beda banget please jgn berekspetasi tinggi aku cuma pengen temenan jgn karena aku ga sesuai dgn ke Turut berduka cita Sehat Semoga selalu sehat juga di sana lama tak bersua terakhir tau lg ngerawat ibu nya gimana kabar ibu Ternyata Aku makin cinta Cinta sama Hmm di wa centang,2
33,assfess ga makasih ko ngono ekspressonya ya selamat anda beruntung waaaooow ajah kaya kuwe lah mana bisa harus booking penghulu dulu apalagi sekarang musim corona harus ijin 2 Punya modal berarti macet kalo ga lancar anjay ra sah nunggu maghrib maghrib juga ra nunggu mbake madang apa bener ini temenmu Udah pada selesai ini baru main hhhhhhhhhh Makan dong salah lagi M Makanan yg bisa buat rumah BATA COR SAWITYOWIT iya wes paham aku bar tadarus sepet bentar aku panggilin,1
34,ok also my bf my day starts and ends with you gitu dech kurang perhatian apalagi nanda hmmm dm belum di hapus juga nii hmmm hmm tiap ditanyain katanya temenan aja hmmmmm kenapa ya papa aku suka ngaca di kamarku padahal di kamarnya ada cermin gak bisa soalnya akun kau di kunci sih TWITTER PLEASE DO YOUR MAGIC mood rn aku butuh cinta dan afeksi when will i get to see my boyfriend sampel penelitianku kenapa banyak bgt ya Tuhan,3
35,dah sm bapak w bapak w mandi dia nunggu depan kamar mandi sampe selesai bapak w baru pulang trs org rumah tidur pst dia bangunin mak gua trs dusel kaki buat bukain pintu klu ga teriak meong2 berisik bgt sampe serumah geger bapak w tidur dia tidur sebelahnya Pengen bgt ngalisss Tp keprabon emg enak makan disana masih anget pengen keprabon Kucing bahlul Laper KEMANA AJA LOE a billionaire child got taste hohohoho Ternyata gini caranya Selama ini bikin dengan,2
36,couple owners of a corner shop in Scotland assembled Corona Virus relief packages for the el Corona Virus Why you must act now Baca tulisan ini sengan teliti dan mengapa kita harus melakukannya sekarang SEGERA Cina sudah menjadi pemimpin perang melawan Covid 19 China telah mengirim tim medis beranggotakan 9 org ke Italia NEG Tweeps Maksudnya sekolah diliburkan kantor juga work from home rotasi itu biar kita diam di rumah bukan malah libur Akan segera menjual test kits COVID19 yg,2
37,sambil mbenerin sambungan kabel di kolong setir Gege anak hits jogja Ya durung mesthi Hanek dipanggil jawabe dalem mas tapi ora ngerti gawean ngomah nyambut gawe ning njaba yo wegah ora Makan Olive sama Olive Weh pitikih Lebih dari sekali gek Ho o po Aku saksi nya Psssst Disket e jo lali dicabut mau mIRC Nyesepi kolonjono Lanokia Myspace Psssst WELCOME TO JOGJA Doi punya nya toya pethak Kelingan po Cendol mau Yuda indehoi indekos Nanti kalo udah upload aku,0
38,menyertai semangat huda Stop what you re doing and look at this raccoon iya gimmick itu gw jg kesel si tp apadaya yg penting engagement tinggi iyaa mau comeback dia anjing bgt ngupload foto usg itu cakecaine mau rilis lagu album kan ya bukan hamil beneran spirited away atau ga totoro sih dit baik sdr kontempelir selamat lebaran ya ipusnas kenapa ga bisa dibuka di laptop sih lana blundshay dengerin closing evangelion sambil ngerokok di pinggir kolam emg emak gw,4
39,hati tongkat hati afwan M lt lt H2 I Yaa hati ItS Pilihlah jawaban dengan tepat 1 Nabi Musa AS kakak Nabi Harun 2 Nabi Musa AS adik Nabi Harun M lt lt H2 I Yaa hati ItS hati bukber FotoProfilBaru FotoProfilBaru Unen Unen Mbah Djamhari Gozali Dadio banyu setetes ning donyo kaping pindo Idonono hati bungaIslam silat telengingati Unen Unen Mbah Djamhari Gozali Dadio banyu setetes ning donyo kaping pindo Idonono hati bungaIslam silat Unen Unen Mbah Djamhari Gozali,1
40,panen tdk bisa terdistribusi Liat McD Sarinah kemarin rame Trus skrg liat bandara rame juga buat keperluan dinas Ini mengkhianati perjuangan 1 Padahal diperaturan tertulis hanya untuk pegawai yg ditugaskan trus kalau ada keperluan keluarga yang sangat amat emergency kyk anggota keluarga meninggal dunia atau sakit keras dan repatriasi Klo liat foto ini jadi bertanya2 Hmmmm Lah gimana inii Lebih simple pake metode 40 30 20 10 Sisihkan 40 dr gaji kamu untuk kebutuhan hidup 30 untuk cicilan amp t,2
41,virus like the deadly and serious threat that it is then they have no fucking business ex Eug kepincut sama balkonnya Life was easier Aslii Setengah harga aja bos minat dm Coincidentally my recently listened bands were all joining sanders political campaign before he decided to drop it out Ga juga sih Bocah somalia mainannya ngebajak kapal nelayan Semoga ada orang bijak berkenan memberi saya pekerjaan saya mau dan bisa kerja apa saja Beraaaatttt Txtbocahkirie antifa kak bhaga bantu doa,2
42,dari badan kalian Buat ngitung nya ribet tapi ada aplikasi online yg bisa kalian pake salah satunya di Kalau target kalian buat nurunin berat badan itu biasanya disebut Cutting Kalau buat naikin biasanya Bulking Keduanya ini sama aja cuman berbeda diasupan makanan harian kalian dan total kalori yg kalian harus makan tiap harinya Jadi paling pertama sebelum kalian mulai fitness atau gym kalian harus set target dulu Ngeset target nya juga jangan ketinggian menurut gue kalo target nya patokan angka,3
43,gt gt Retweet geby Sempurnaaaa fix Bingung bgt buka twitter lama instagram apalagi netflix lebih2 Terus aku tuh disuruh ngapain sih quarantine nya sm Indihome Bertapa you ever be like it is what it is but deep inside your heart wishes shit would be different omona when u see something funny but you re supposed to be offline in a relationship with constant tiredness im so pissed huhu coba itu otaknya keluarin dr kulkas trs dipake ditempat yg bener pernah,4
44,aku balik dan mau cari makan eh ketemu sama simbah ini tp lupa ga nanyain nama cm siapa tau ada yg pengen masuk jurusan bahasa korea ini catetan aku pas semester ini semangat yah yg pgn masuk ju Cara membuat proposal penelitian untuk skripsi karya tulis ilmiah A THREAD Perbedaan skripsi tesis dan disertasi Trik trik atau cara membuat latar belakang dan rumusan masalah dengan mudah dalam menyusun skripsi kti A thread Lucuuu Imagine when you are sad and your,1
45,karena egois Kalo dapet 2 pizza satunya kukirim buat temen real life sejak 6 tahun lalu SenengnyadiPHDin Siapa tau bagi thr via transfer Gimana min dapet thr atau bagi thr Lihat bagaimana kami bekerja dengan sebuah museum di Korea untuk meningkatkan kesadaran akan spesies yang terancam puna CANTIK Yuk ikut jawab juga Sama sama ya admin Ini apa Sagan yo iki Sehat selalu ya aamiin Tutorial bikin Halaman Facebook lt A thread gt a new keyboard Gak gitu Rebahan memang,1
46,begitu Untungnya aku ga sampe nge dm yg posting sih haha Memang ga cocok akutu main instagram haha gitu aja langsung shock dan ke pede an Ternyata auto muncul tuh emang foto w di instastory orang orang Katro emang akutu haha Jarang jarang buka instagram sekalinya main aku kena culture shock wkwk kaget kenapa ada muka w di instastory orang orang Ternyata oh ternyata begitu Mendengar lagu2 sekarang akan beda rasanya Gak cuma merayakan patah hati sendiri namun juga merasakan,2
47,sangat kompleks belommm itu buat tes yang monogamy gtgt apa gimana gue buka langsung internet sehat bangke wkwkwkwk gue jadi tau pret perbedaan polyamory dengan open relationship mantep deh w belajar banyak wakaka seru bat jir HAHA PASTI ABIS NONTON CATWOMANIZER YAAAA ya maap banget rel gue harap lu maafin gueee dengan segala kekurangan gue ini haiii amin makasih yaaa stay safe kamu emang kamu doang deh yang mentalnya mantep banget,1
48,bukan Pas lg nge hype lettering pengen bgt punya itu tapi baru kesampaian yg brush biasa jatuhnya ga bisa nyesuaiin tebal tipisnya Omong2 soal krya aku dah lama bgt ga ngegambar udah insecure duluan semangat buat kamu berkarya trs yaa Hehehe maap soalnya kurang begitu ngerti brush model itu Gitu ternyata tapi diliat dari foto keknya bisa buat lettering Happy birthday Temenmu baik sekali Ga punya rak si karna sedikit wwkwk Kalo dibanding sama nivea enak dipake ga teruntuk warga,1
49,yang Ramadan nya sukses adalah mereka yang bisa membawa nilai nilai Ramadan di 11 bulan ke depan RamadanBers Demi kantong mataku yang berkantong Ada 3 lembar uang nominal 50 000 di dompet Bambang LPSIndonesia ikut jawab juga ya Nggak perlu bisa desain grafis Tinggal masukkan data CV mu bakal profesional seketika t co g9lx87FrAc Aku gak tau Hana Kimura itu siapa sebelumnya tapi mau sampai berapa manusia lagi bunuh diri karena jari jemari kejam Kenapa mudah sekali manusia menyuruh manusia,1
50,sih tapi pas ditanya dari mana dijawab dari jawa aan acin acin aawaak awaak mantan seng ndi brin emg bakalan bye yall soon jgn menutupi keburukan temannya ya km absen brp km kyknya aku sakit deh kok ngantuk terus hmm tp kok aku cpt ya sehari aja langsung ditangani Kalo minta garuk enak banget tingal nyebut gambar Uteke ng satelit Sebentar lagi mau Lebaran mari siapkan diri untuk saling memaafkan Nggak perlu ketemuan walau terpisah jarak tapi hatin wow apanich,1
51,kurang produktif akhir akhir ini Ini pandemi bukan ujian productivity Selama kita melakukan sebaiknya kal hah ampuuuun gimana yep aku butuh pemulih jiwa undur sehari beres langsung cus aku juga anen sampe mau nekat wkwkw aku tukaaad stres lil wkwkw hilih mau tak jak keliling sumpah stres lama lama lil ayoo besok jalan jalan masih mens kan aku wes nangis lil juga sedang ada masalah cuk skripsi ada aja ya masalah perskripsian tak enteni tak jak gelut wooo ngono yaaaaa,2
52,jadi mereka tu bestfriend terus bikin tiktok video dengan outfit yang sama ta fess penyebab rotinya jadi kaya gini tuh kenapasi Woi masker gua retak TebakanGakLucu ini baru yg namanya ngehujat pake skill wkwkwk Cuma mengisi galeri bukan berarti mengisi hati Emang puyeng ya jelasin ke org yang gak peka karna dikira kita ngemis gitu loh cui Paham gaksi Dikarnakan suami diphk dari kerjaan dan samasekali gada pemasukan sdgkan dedebayi baru bgt rilis bulan ini Jadi aku inisi DPO11 nyampah,2
53,Huhu pasti kngen qt yyyy Wkwkwk biasanya yg kayak gini iri karena masih di kosabn Engga kalo masih di kosan pasti kurang enak krn masuk bulan puasa giniiii huhu okayyy stay sfaee RASHEELl udh di pamulang kaannnn Setuju bgt Gakepikiran bakal segitu royal ga sih ngasihnya Thx sarkasny ka Pak Zahir siap melatih temen temen pejabat negara dan direksi BUMN untuk mengerti dan memahami laporan ke Main garticAaa HAH HAHAHAHHA MALU bye gajadi selamay ulangtahun IRVAN SELAMAT ULANG TAHUN MAAP,3
54,dirumah asli pen dikosan weh Kok ngegas MALAM INI OTW NONTON BARBIE Org tuh kalo suudzon mulu kenapa ya I hated when teachers put On graded work bitch idk what s going on either Kgn berinteraksi sama org selain org rumah tp ya interaksi face to face bukan secara virtual gitu Pengen ke bali gossiping with ur boyfriend is top tier level fun Mba IndiraKhalista cobadeh jajalin make kostum ini sehariii aja btw ini istri gua dia seorang perawat yang,1
55,isi kepala kita is not fair aja gt adl w apa juga kalo udh sakit kepala kyk mau demam panik kirain covid kyuti bener bgt aul astaga say it out loud today in New Zealand our kids can go back to school because we have a compassionate government and we listen to science ht kasian kan ya ul padahal yaudah bilang tinggal bilang gt wkwkwk kasian orgnya disuruh nebak2 karena ktnya understand without being told,2
56,doang huhu Mutualan mah buat main main Udah cocok berarti jadi orang padang ni Kangen Dewa 19 Filter kecehh Silaw ga tuh Pusying pala berbieh Karna penge viral haha Ga ada yg viral orang aja suka nyari kesibukan hehe Belum seberapa panas sama padang teh Cintai dirimu minum yakult tiap hari Ga mau mutualan mbaa maunya langsung ke ibu mertua Dirumah terus keburu gendutan hehe Kalau masuk sebentar semua cowo juga bisa atuh mbak 69 haha Pysical distancing bersekala besar,3
57,ga sih ngerasa kek im not good for anyone tp udh try ur best it damn hurt hehe manusia2 62 banyak yg suka memalukan ya When I randomly remember one of my shirts that I haven t seen in a while sabar2 bulan puasa wow the amount of h8 i have towards u is growing day by day BTS as Disney Channel theme songs Ulangtahun ku Aku abis masak telor dadar Sad truth Yesterday an elderly woman in my block,4
58,twitter does not rest I used to think communication was the key until I realised comprehension is You can communicate all you want with some Percaya gak lagu2 SNSD era ini gw hapal semua gerakannya t co iMA74Cor2D On a serious note birds of the same feather flock together Itu youtuber sampah yang suka blunder dan ngaco mainnya ya sama Indonesia konbat giveaway prize konbat kr version rules rt and like this tweet follow me reply with your co Okay,1
59,anak mikro udah la putus aja aku mau fokus ngurusin bakteri bakteriku yg ada di cawan gosah bawa bawa yaa nanti tunggu aja undangannya itu masnya sehat epic bgt deyaanaa telat praktikum telat absen telat kuis biasanya gue yg ngingetin tmn2 di grup wa dan skrg lupa sendiri tuuu mmmmm pen gua kirim stiker stiker wa rasanya gini ya kalo dirumah laki sendiri teraweh 4hari sendiri serumah puasa sendiri masa solat ied nanti jg sendiri yaampun kesian bgt ayah akuuu,1
60,my wrong and slowly but SLAM DUNK THREAD HERE ARE ALL MY FAVORITE MOMENTS FROM THE SERIES Do y all know that MBTI wasn t made by a psychologist LMAOOOO Gua crab anal boyfriend ajg HAHAHA kelar karantina gua jadi homo Lama bgt ga sih dee People who think 30 mins is a far drive annoy the fuck outta me Sumpah itu gajelas bgt berr seriesnya mulai dari season 2 absurd deh sumpah Riverdale SIAP BOSQUU The iconic Marygold has,1
61,pusing banget astagaaaaa tapi kalo ditransfer 10jt kayanya mendingan If you cannot leave a toxic environment get something from it Use it to practice your boundaries Use it to understa Di negaraku orang meninggal saja bisa dihujat Orang berduka bisa dibully Apalagi orang yang masih hidup dan sehat Itulah gakebayang jd istri dan anaknya nanti kalo dengerin lagu terakhir ini gmn perasaannya DEMI APASI TI Siapapun pacarnya lagunya pasti Glenn Fredly Terima kasih bung lagunya glenn selalu jd top playlist,3
62,tolong kasih hal hal baik yang pemerintah lakukan dong selama pandemic ini kepercayaan ku ke pemerintah lagi anjlo the second trial wkwk 1 Temen kelasmu kurang ajar 2 Jangan berekspektasi bahwa orang lain akan menghargai kita Cmiiw hmm dosen jg capek yg bilang ngeliat layar trs dikata main gadget mulu lah sama dosen juga gitu masih manusia juga atuh mereka itu cara dia peduli sm lu let s be grateful aja punya temen yang peduli sm lu trs kl lu,1
